road_type,weather,light,traffic,temperature,battery,vehicle_weight,correct_action,predicted_action,verdict
Highway,Sunny,night,moderate,1,41,2023.65,Turn on headlights,Pull over,Risky
Highway,Rainy,night,no,28,99,1870.34,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,moderate,2,98,1889.95,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,no,24,77,1561.79,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,no,17,32,1919.37,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,25,14,1989.89,Pull over,Maintain speed,Unsafe
Rural,Snow,night,no,-1,44,1560.82,Reduce speed,Maintain speed,Risky
Rural,Foggy,day,high,30,56,1625.91,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,night,no,32,34,1732.66,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,high,20,66,2184.7,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,moderate,38,54,1942.65,Maintain speed,Pull over,Risky
Rural,Rainy,night,no,33,92,2243.46,Turn on headlights,Activate hazard lights,Risky
Highway,Snow,day,moderate,-7,64,1953.02,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,high,23,80,1988.85,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,6,11,1927.18,Pull over,Pull over,Optimal
Rural,Rainy,day,moderate,25,31,1636.88,Reduce speed,Maintain speed,Risky
Highway,Rainy,night,high,1,81,1930.91,Reduce speed,Maintain speed,Risky
Rural,Sunny,day,high,-7,96,2094.26,Maintain speed,Reduce speed,Risky
Highway,Sunny,night,high,9,37,1719.46,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Rainy,night,moderate,22,72,2414.36,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Snow,day,no,-9,78,2080.36,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,moderate,8,53,1532.88,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,no,-5,25,1682.38,Activate hazard lights,Reduce speed,Risky
Rural,Foggy,night,moderate,27,28,1511.0,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Sunny,night,no,-9,78,2177.35,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,17,85,2152.66,Turn on headlights,Activate hazard lights,Risky
Rural,Foggy,day,no,34,28,1897.54,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Foggy,day,high,11,31,1632.0,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,moderate,11,30,2495.56,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,moderate,33,64,2436.38,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,high,34,86,1884.74,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,no,22,10,2163.45,Pull over,Turn on headlights,Risky
Semi Urban,Sunny,night,no,21,99,1605.93,Turn on headlights,Reduce speed,Risky
Highway,Rainy,night,high,18,26,1965.24,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,no,39,64,2063.1,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,high,0,56,1671.72,Reduce speed,Activate hazard lights,Acceptable
Highway,Sunny,night,no,31,94,2152.91,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,night,high,-7,75,2304.04,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,no,30,15,2367.73,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,day,no,16,89,2295.05,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,moderate,19,99,2216.59,Maintain speed,Turn on headlights,Risky
Semi Urban,Rainy,day,no,-2,74,2108.18,Maintain speed,Reduce speed,Risky
Rural,Rainy,night,no,-2,16,1639.46,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,no,28,82,2285.61,Maintain speed,Turn on headlights,Risky
Rural,Rainy,night,high,11,90,1772.98,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,high,17,93,2224.63,Reduce speed,Maintain speed,Risky
Semi Urban,Rainy,night,high,21,14,2496.79,Pull over,Pull over,Optimal
Highway,Rainy,night,high,33,18,2347.68,Reduce speed,Maintain speed,Risky
Highway,Sunny,day,high,29,55,2231.67,Maintain speed,Activate hazard lights,Risky
Rural,Sunny,night,high,27,10,1551.47,Pull over,Pull over,Optimal
Rural,Snow,night,moderate,-10,78,1841.38,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,no,5,79,1539.61,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,no,10,71,2093.65,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,high,18,44,1866.05,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,8,67,2324.31,Turn on headlights,Pull over,Risky
